<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	14235.6400	14373.8720	14148.3760	14317.2190	84739	0	1410
2024.01.02	14317.2190	14379.3220	14136.1020	14153.6920	84726	0	1410
2024.01.03	14153.6700	14255.6720	14029.5460	14229.9280	84763	0	1400
2024.01.04	14229.9160	14293.1650	14058.7690	14105.1700	84674	0	1400
2024.01.05	14105.1280	14249.1980	14010.1820	14158.1340	84657	0	1400
2024.01.06	14158.1280	14258.2330	14092.1790	14173.5820	84736	0	1400
2024.01.07	14173.5740	14333.9530	14098.8580	14199.2220	84760	0	1410
2024.01.08	14199.2070	14228.4170	14015.7100	14045.3140	84669	0	1400
2024.01.09	14045.3040	14209.8280	14009.2460	14130.1370	84735	0	1400
2024.01.10	14130.1350	14183.7480	14039.7730	14045.2400	84729	0	1400
2024.01.11	14045.2330	14202.8280	14019.7460	14197.1840	84657	0	1400
2024.01.12	14197.1650	14218.1830	13894.7050	13917.9030	84701	0	1380
2024.01.13	13917.8860	13999.8530	13827.9720	13866.5200	84624	0	1380
2024.01.14	13866.4850	14056.2980	13790.1330	13839.0770	84450	0	1370
2024.01.15	13839.0530	13846.7340	13640.6030	13649.0970	84194	0	1360
2024.01.16	13649.0950	13751.8540	13465.4790	13465.4790	84562	0	1340
2024.01.17	13465.4720	13465.4720	13242.3640	13242.3640	84696	0	1320
2024.01.18	13242.3610	13534.7230	13221.0040	13494.1610	84607	0	1320
2024.01.19	13494.1410	13555.0730	13330.8310	13336.2930	84705	0	1330
2024.01.20	13336.2790	13581.3360	13294.0710	13570.2420	84585	0	1320
2024.01.21	13570.2160	13719.4230	13494.6190	13630.3000	84619	0	1340
2024.01.22	13630.2890	14063.9970	13615.6810	14049.2940	84676	0	1360
2024.01.23	14049.2870	14108.1110	13877.7520	14016.2710	84718	0	1380
2024.01.24	14016.2550	14146.2190	13908.4690	13957.6700	84758	0	1390
2024.01.25	13957.6560	14097.7470	13910.4460	13910.4460	84619	0	1390
2024.01.26	13910.4370	13943.3970	13677.6060	13750.3560	84642	0	1360
2024.01.27	13750.3430	13750.3430	13591.1200	13637.2350	84658	0	1350
2024.01.28	13637.2310	13723.7180	13432.3890	13521.2040	84613	0	1340
2024.01.29	13521.1960	13542.3570	13281.1800	13539.6660	84613	0	1320
2024.01.30	13539.6430	13558.1980	13344.4890	13532.7270	83713	0	1330
2024.01.31	13532.7160	13678.7210	13399.4710	13660.9120	84689	0	1340
2024.02.01	13660.9110	13748.2290	13599.0910	13738.1340	84586	0	1360
2024.02.02	13738.1180	13925.6530	13692.5520	13858.5050	84572	0	1360
2024.02.03	13858.4950	13899.8430	13702.6090	13702.6090	84629	0	1370
2024.02.04	13702.6080	13941.7130	13688.8600	13816.7740	84656	0	1360
2024.02.05	13816.7460	13851.8500	13639.0850	13654.6830	84551	0	1360
2024.02.06	13654.6780	13879.5530	13598.9540	13876.7980	84628	0	1360
2024.02.07	13876.7820	13999.8200	13755.0820	13968.6710	84664	0	1370
2024.02.08	13968.6590	14060.6200	13882.3870	14019.2400	84751	0	1380
2024.02.09	14019.2310	14295.6390	13989.5280	14111.3590	84647	0	1390
2024.02.10	14111.3320	14393.2520	14100.1270	14384.6570	84673	0	1410
2024.02.11	14384.6530	14473.4890	14285.2950	14324.2300	84725	0	1420
2024.02.12	14324.2260	14483.9220	14216.1810	14459.1470	84763	0	1420
2024.02.13	14459.1260	14492.0270	14190.9990	14248.5020	84717	0	1410
2024.02.14	14248.5020	14320.1540	14075.8280	14075.8280	84650	0	1400
2024.02.15	14075.8210	14271.8790	14048.6200	14216.4500	84637	0	1400
2024.02.16	14216.4350	14350.1770	14160.1170	14327.2240	84774	0	1410
2024.02.17	14327.2100	14413.7620	14055.8020	14138.3050	84724	0	1400
2024.02.18	14138.2920	14175.2220	14021.2760	14118.8900	84431	0	1400
2024.02.19	14118.8860	14251.6000	14063.8120	14187.5370	84729	0	1400
2024.02.20	14187.5340	14198.5080	13999.1970	14068.4570	84709	0	1400
2024.02.21	14068.4530	14092.8840	13929.8300	14022.4690	84662	0	1390
2024.02.22	14022.4560	14022.4560	13810.6970	13811.1350	84654	0	1380
2024.02.23	13811.1220	14057.9400	13760.5250	13949.9300	84734	0	1370
2024.02.24	13949.9160	14024.1720	13783.9450	13830.9800	84774	0	1370
2024.02.25	13830.9790	13849.8890	13567.5120	13588.1410	84598	0	1350
