<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	14235.6400	14293.1330	14218.5900	14281.9010	14140	0	1420
2024.01.01	04:00:00	14281.8990	14314.5910	14244.7760	14256.5470	14088	0	1420
2024.01.01	08:00:00	14256.5300	14285.1400	14193.5230	14193.5230	14127	0	1410
2024.01.01	12:00:00	14193.5170	14238.7960	14148.3760	14202.4910	14122	0	1410
2024.01.01	16:00:00	14202.4790	14260.0760	14174.6210	14256.4170	14125	0	1410
2024.01.01	20:00:00	14256.3930	14373.8720	14232.5510	14317.2190	14137	0	1420
2024.01.02	00:00:00	14317.2190	14379.3220	14306.5450	14315.4240	14129	0	1430
2024.01.02	04:00:00	14315.4080	14346.6650	14272.2730	14299.3120	14112	0	1420
2024.01.02	08:00:00	14299.2940	14300.7810	14198.0740	14254.9170	14134	0	1410
2024.01.02	12:00:00	14254.9030	14318.8140	14249.9780	14258.6780	14098	0	1420
2024.01.02	16:00:00	14258.6650	14258.6650	14149.7820	14173.7050	14150	0	1410
2024.01.02	20:00:00	14173.6880	14198.9710	14136.1020	14153.6920	14103	0	1410
2024.01.03	00:00:00	14153.6700	14180.2120	14053.5550	14073.1320	14100	0	1400
2024.01.03	04:00:00	14073.1210	14133.2160	14029.5460	14094.1040	14159	0	1400
2024.01.03	08:00:00	14094.1010	14216.9650	14082.6930	14190.1980	14122	0	1400
2024.01.03	12:00:00	14190.1720	14255.6720	14187.8420	14203.1090	14121	0	1410
2024.01.03	16:00:00	14203.0870	14222.8930	14145.9000	14162.2230	14119	0	1410
2024.01.03	20:00:00	14162.2060	14245.2570	14156.1650	14229.9280	14142	0	1410
2024.01.04	00:00:00	14229.9160	14229.9160	14163.7670	14189.2460	14111	0	1410
2024.01.04	04:00:00	14189.2440	14293.1650	14178.2540	14222.9040	14107	0	1410
2024.01.04	08:00:00	14222.8970	14233.9740	14161.1970	14198.7010	14132	0	1410
2024.01.04	12:00:00	14198.6840	14212.8390	14132.9690	14202.0930	14118	0	1410
2024.01.04	16:00:00	14202.0700	14202.0700	14105.4630	14168.1620	14090	0	1410
2024.01.04	20:00:00	14168.1530	14168.1530	14058.7690	14105.1700	14116	0	1400
2024.01.05	00:00:00	14105.1280	14105.1840	14010.1820	14066.8780	14127	0	1400
2024.01.05	04:00:00	14066.8590	14192.4410	14060.2410	14146.6980	14103	0	1400
2024.01.05	08:00:00	14146.6940	14249.1980	14146.4030	14200.9490	14094	0	1410
2024.01.05	12:00:00	14200.9440	14227.9520	14165.8870	14214.3670	14111	0	1410
2024.01.05	16:00:00	14214.3490	14222.1870	14126.9510	14126.9510	14115	0	1410
2024.01.05	20:00:00	14126.9440	14173.2590	14102.6900	14158.1340	14107	0	1410
2024.01.06	00:00:00	14158.1280	14210.9270	14113.6120	14186.3750	14110	0	1410
2024.01.06	04:00:00	14186.3620	14258.2330	14158.8650	14183.6930	14132	0	1410
2024.01.06	08:00:00	14183.6740	14250.0890	14128.4020	14240.6860	14103	0	1410
2024.01.06	12:00:00	14240.6800	14240.6800	14135.8900	14159.8380	14152	0	1410
2024.01.06	16:00:00	14159.8310	14181.6750	14092.1790	14172.8770	14125	0	1400
2024.01.06	20:00:00	14172.8400	14243.9610	14160.1180	14173.5820	14114	0	1410
2024.01.07	00:00:00	14173.5740	14189.7830	14121.3710	14136.5610	14128	0	1410
2024.01.07	04:00:00	14136.5420	14212.1560	14098.8580	14184.9580	14111	0	1410
2024.01.07	08:00:00	14184.9220	14233.8510	14125.4690	14187.9930	14121	0	1410
2024.01.07	12:00:00	14187.9730	14289.2070	14151.5030	14251.7410	14131	0	1410
2024.01.07	16:00:00	14251.7360	14333.9530	14215.6250	14215.6250	14148	0	1420
2024.01.07	20:00:00	14215.6120	14255.1360	14195.4830	14199.2220	14121	0	1410
2024.01.08	00:00:00	14199.2070	14228.4170	14163.2380	14163.2380	14098	0	1410
2024.01.08	04:00:00	14163.2110	14191.9630	14121.2170	14161.2570	14118	0	1410
2024.01.08	08:00:00	14161.2400	14223.1990	14129.3230	14179.2480	14108	0	1410
2024.01.08	12:00:00	14179.2410	14179.2410	14044.7500	14089.3120	14114	0	1400
2024.01.08	16:00:00	14089.3080	14127.4360	14059.2840	14117.0120	14122	0	1400
2024.01.08	20:00:00	14117.0040	14142.8090	14015.7100	14045.3140	14109	0	1400
2024.01.09	00:00:00	14045.3040	14130.9460	14014.8980	14107.9680	14119	0	1400
2024.01.09	04:00:00	14107.9480	14107.9480	14019.4260	14027.3610	14118	0	1400
2024.01.09	08:00:00	14027.3510	14163.1870	14009.2460	14119.7850	14125	0	1400
2024.01.09	12:00:00	14119.7850	14209.8280	14115.6340	14148.6530	14115	0	1410
2024.01.09	16:00:00	14148.6350	14208.1090	14120.6510	14192.8580	14121	0	1410
2024.01.09	20:00:00	14192.8510	14192.8510	14080.4710	14130.1370	14137	0	1400
2024.01.10	00:00:00	14130.1350	14183.7480	14079.2210	14176.1070	14083	0	1400
2024.01.10	04:00:00	14176.0890	14176.0890	14081.3020	14084.3100	14143	0	1400
2024.01.10	08:00:00	14084.3080	14143.3740	14064.4290	14110.8810	14126	0	1400
2024.01.10	12:00:00	14110.8800	14183.5130	14073.4310	14181.5330	14139	0	1400
2024.01.10	16:00:00	14181.5220	14181.5220	14097.1340	14136.3860	14123	0	1400
2024.01.10	20:00:00	14136.3820	14136.3820	14039.7730	14045.2400	14115	0	1400
2024.01.11	00:00:00	14045.2330	14162.8810	14019.7460	14117.7460	14128	0	1400
2024.01.11	04:00:00	14117.7230	14122.5270	14038.0880	14081.3530	14101	0	1400
2024.01.11	08:00:00	14081.3520	14149.8250	14020.0210	14145.9610	14130	0	1400
2024.01.11	12:00:00	14145.9450	14145.9450	14065.4050	14111.3940	14112	0	1400
2024.01.11	16:00:00	14111.3910	14136.2390	14041.5060	14041.5060	14090	0	1400
2024.01.11	20:00:00	14041.5060	14202.8280	14033.8580	14197.1840	14096	0	1400
2024.01.12	00:00:00	14197.1650	14218.1830	14119.1850	14162.9400	14105	0	1410
2024.01.12	04:00:00	14162.9220	14184.0660	14094.9500	14116.3340	14135	0	1400
2024.01.12	08:00:00	14116.3170	14150.5330	14082.8650	14089.0850	14116	0	1400
2024.01.12	12:00:00	14089.0580	14102.5570	13987.3410	13987.3410	14096	0	1390
