<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	14235.6400	14235.6400	14222.9600	14222.9600	877	0	1420
2024.01.01	00:15:00	14222.9520	14240.2390	14218.5900	14234.6280	881	0	1420
2024.01.01	00:30:00	14234.5900	14255.3080	14225.9460	14251.2300	883	0	1420
2024.01.01	00:45:00	14251.2260	14251.2260	14239.5040	14240.5930	883	0	1420
2024.01.01	01:00:00	14240.5860	14240.5860	14231.5390	14234.9440	883	0	1420
2024.01.01	01:15:00	14234.9200	14278.6530	14227.2190	14275.7040	880	0	1420
2024.01.01	01:30:00	14275.6660	14293.1330	14273.9620	14281.7930	889	0	1420
2024.01.01	01:45:00	14281.7610	14286.0230	14274.6810	14280.6780	890	0	1420
2024.01.01	02:00:00	14280.6540	14280.6540	14267.7660	14267.7660	888	0	1420
2024.01.01	02:15:00	14267.7610	14267.7610	14254.8780	14254.8780	889	0	1420
2024.01.01	02:30:00	14254.8740	14270.2110	14254.6240	14264.7120	889	0	1420
2024.01.01	02:45:00	14264.7070	14264.7070	14256.0720	14257.3400	884	0	1420
2024.01.01	03:00:00	14257.3270	14291.1050	14256.7410	14285.4920	872	0	1420
2024.01.01	03:15:00	14285.4860	14285.4860	14272.7710	14272.7710	884	0	1420
2024.01.01	03:30:00	14272.7560	14272.7560	14265.5790	14266.2410	886	0	1420
2024.01.01	03:45:00	14266.2210	14288.8560	14259.9880	14281.9010	882	0	1420
2024.01.01	04:00:00	14281.8990	14283.3420	14273.7420	14273.7420	881	0	1420
2024.01.01	04:15:00	14273.7270	14299.6290	14267.8200	14293.1330	881	0	1420
2024.01.01	04:30:00	14293.1250	14303.7830	14285.6080	14303.4750	882	0	1420
2024.01.01	04:45:00	14303.4540	14303.4540	14290.0900	14290.0900	889	0	1420
2024.01.01	05:00:00	14290.0870	14314.5910	14284.6530	14306.5500	879	0	1420
2024.01.01	05:15:00	14306.5460	14309.9160	14301.0890	14302.3830	879	0	1430
2024.01.01	05:30:00	14302.3710	14302.3710	14293.9430	14296.5130	879	0	1420
2024.01.01	05:45:00	14296.4700	14296.4700	14283.9950	14283.9950	880	0	1420
2024.01.01	06:00:00	14283.9870	14283.9870	14271.2200	14271.2200	888	0	1420
2024.01.01	06:15:00	14271.2040	14282.5170	14270.0400	14270.3350	886	0	1420
2024.01.01	06:30:00	14270.3350	14270.3350	14261.9350	14261.9350	874	0	1420
2024.01.01	06:45:00	14261.9210	14267.3600	14252.4140	14263.2200	881	0	1420
2024.01.01	07:00:00	14263.2110	14263.2110	14251.1820	14251.1820	875	0	1420
2024.01.01	07:15:00	14251.1650	14259.8480	14247.9690	14247.9690	879	0	1420
2024.01.01	07:30:00	14247.9660	14258.5580	14244.7760	14257.1430	882	0	1420
2024.01.01	07:45:00	14257.1280	14264.0100	14255.5540	14256.5470	873	0	1420
2024.01.01	08:00:00	14256.5300	14285.1400	14255.9760	14283.9200	881	0	1420
2024.01.01	08:15:00	14283.9030	14283.9030	14270.5570	14270.5570	884	0	1420
2024.01.01	08:30:00	14270.5510	14270.5510	14257.6670	14257.6670	885	0	1420
2024.01.01	08:45:00	14257.6510	14257.6510	14244.7260	14244.7260	881	0	1420
2024.01.01	09:00:00	14244.7080	14261.3660	14240.5230	14253.1570	885	0	1420
2024.01.01	09:15:00	14253.1490	14253.1490	14240.0930	14240.0930	888	0	1420
2024.01.01	09:30:00	14240.0890	14275.5370	14235.6540	14267.2810	889	0	1420
2024.01.01	09:45:00	14267.2590	14267.2590	14254.1970	14254.1970	880	0	1420
2024.01.01	10:00:00	14254.1720	14282.3820	14245.5080	14278.1390	884	0	1420
2024.01.01	10:15:00	14278.1340	14278.1340	14265.8810	14270.0300	885	0	1420
2024.01.01	10:30:00	14270.0120	14270.0120	14257.9910	14257.9910	884	0	1420
2024.01.01	10:45:00	14257.9900	14257.9900	14245.5180	14245.5180	877	0	1420
2024.01.01	11:00:00	14245.5130	14245.5130	14232.4310	14232.4310	884	0	1420
2024.01.01	11:15:00	14232.4230	14232.4230	14219.5690	14219.5690	885	0	1420
2024.01.01	11:30:00	14219.5590	14219.5590	14206.5320	14206.5320	874	0	1420
2024.01.01	11:45:00	14206.5120	14206.5120	14193.5230	14193.5230	881	0	1410
2024.01.01	12:00:00	14193.5170	14221.6460	14192.4030	14209.9080	881	0	1410
2024.01.01	12:15:00	14209.8960	14226.9770	14203.4540	14225.0670	880	0	1420
2024.01.01	12:30:00	14225.0520	14225.0520	14216.5620	14216.5620	886	0	1420
2024.01.01	12:45:00	14216.5470	14216.5470	14203.9330	14203.9330	883	0	1420
2024.01.01	13:00:00	14203.9240	14238.7960	14202.6260	14233.3910	886	0	1420
2024.01.01	13:15:00	14233.3750	14233.3750	14222.2040	14229.0870	888	0	1420
2024.01.01	13:30:00	14229.0590	14236.9720	14226.0380	14226.0380	884	0	1420
2024.01.01	13:45:00	14226.0320	14226.0320	14216.7140	14216.7140	883	0	1420
2024.01.01	14:00:00	14216.6870	14216.6870	14203.5190	14203.5190	885	0	1420
2024.01.01	14:15:00	14203.5030	14203.5030	14192.5070	14192.5070	878	0	1410
2024.01.01	14:30:00	14192.4950	14204.1880	14181.5290	14203.7720	878	0	1410
2024.01.01	14:45:00	14203.7680	14203.7680	14191.1740	14191.1740	882	0	1410
2024.01.01	15:00:00	14191.1570	14191.1570	14178.4480	14178.4480	892	0	1410
2024.01.01	15:15:00	14178.4340	14178.4340	14165.6100	14165.6100	879	0	1410
2024.01.01	15:30:00	14165.5890	14165.5890	14153.2040	14153.2040	882	0	1410
2024.01.01	15:45:00	14153.1950	14205.8870	14148.3760	14202.4910	875	0	1410
2024.01.01	16:00:00	14202.4790	14202.4790	14189.4230	14189.4230	887	0	1410
2024.01.01	16:15:00	14189.4020	14217.5580	14188.3850	14208.4050	886	0	1410
2024.01.01	16:30:00	14208.3970	14208.3970	14199.3960	14200.9160	879	0	1420
2024.01.01	16:45:00	14200.9150	14200.9150	14188.3650	14191.2170	878	0	1410
2024.01.01	17:00:00	14191.2150	14191.2150	14178.2720	14178.2720	888	0	1410
2024.01.01	17:15:00	14178.2590	14213.2620	14174.6920	14204.4260	881	0	1410
2024.01.01	17:30:00	14204.4070	14204.4070	14191.5140	14191.5140	886	0	1410
2024.01.01	17:45:00	14191.5080	14191.5080	14178.8470	14178.8470	878	0	1410
2024.01.01	18:00:00	14178.8210	14205.0970	14174.6210	14197.2870	888	0	1410
2024.01.01	18:15:00	14197.2590	14215.4850	14191.1670	14209.0200	881	0	1410
2024.01.01	18:30:00	14208.9920	14233.6970	14204.0410	14226.1240	884	0	1420
2024.01.01	18:45:00	14226.0930	14256.5910	14221.7490	14255.2470	880	0	1420
2024.01.01	19:00:00	14255.2220	14255.2220	14242.6160	14242.6160	877	0	1420
2024.01.01	19:15:00	14242.5930	14258.8500	14239.9640	14249.2020	883	0	1420
2024.01.01	19:30:00	14249.1900	14249.1900	14237.6520	14241.7690	884	0	1420
2024.01.01	19:45:00	14241.7630	14260.0760	14232.2700	14256.4170	885	0	1420
2024.01.01	20:00:00	14256.3930	14256.3930	14245.4850	14245.4850	881	0	1420
2024.01.01	20:15:00	14245.4750	14250.0790	14240.4510	14242.2450	886	0	1420
2024.01.01	20:30:00	14242.2440	14243.9740	14233.6140	14239.0800	889	0	1420
2024.01.01	20:45:00	14239.0790	14258.0100	14232.5510	14257.6350	883	0	1420
2024.01.01	21:00:00	14257.6300	14316.3310	14254.3370	14312.2910	887	0	1420
2024.01.01	21:15:00	14312.2610	14321.2460	14303.0170	14317.4040	886	0	1430
2024.01.01	21:30:00	14317.4010	14355.1610	14308.2060	14354.8370	881	0	1430
2024.01.01	21:45:00	14354.8250	14373.8720	14352.1330	14363.5390	888	0	1430
2024.01.01	22:00:00	14363.5330	14363.5330	14350.5310	14350.5310	879	0	1430
2024.01.01	22:15:00	14350.5280	14350.5280	14339.1360	14339.1360	883	0	1430
2024.01.01	22:30:00	14339.1230	14339.1230	14328.5790	14328.8840	886	0	1430
2024.01.01	22:45:00	14328.8530	14328.8530	14315.9080	14315.9080	874	0	1430
2024.01.01	23:00:00	14315.8990	14315.8990	14302.8090	14302.8090	883	0	1430
2024.01.01	23:15:00	14302.7790	14302.7790	14289.6800	14289.6800	887	0	1420
2024.01.01	23:30:00	14289.6740	14317.4260	14287.0400	14307.1280	888	0	1420
2024.01.01	23:45:00	14307.0970	14317.2670	14294.4150	14317.2190	876	0	1420
2024.01.02	00:00:00	14317.2190	14327.2700	14306.5450	14324.7990	883	0	1430
2024.01.02	00:15:00	14324.7840	14328.2360	14315.6990	14315.6990	885	0	1430
2024.01.02	00:30:00	14315.6750	14333.2160	14309.0330	14330.1710	883	0	1430
2024.01.02	00:45:00	14330.1580	14339.8150	14328.3650	14328.7180	888	0	1430
2024.01.02	01:00:00	14328.7090	14342.9390	14326.1230	14333.8490	888	0	1430
2024.01.02	01:15:00	14333.8450	14379.3220	14328.3140	14375.8380	889	0	1430
2024.01.02	01:30:00	14375.8220	14377.5260	14368.9630	14368.9630	879	0	1430
2024.01.02	01:45:00	14368.9620	14368.9620	14356.3340	14356.3340	882	0	1430
2024.01.02	02:00:00	14356.3340	14370.9060	14346.7390	14367.1390	886	0	1430
2024.01.02	02:15:00	14367.1130	14367.1130	14354.5980	14354.5980	883	0	1430
2024.01.02	02:30:00	14354.5880	14363.1670	14352.0100	14352.0100	880	0	1430
2024.01.02	02:45:00	14352.0000	14357.5210	14344.9820	14344.9820	882	0	1430
2024.01.02	03:00:00	14344.9750	14344.9750	14332.2790	14332.2790	879	0	1430
2024.01.02	03:15:00	14332.2520	14342.8000	14320.9200	14341.4220	883	0	1430
2024.01.02	03:30:00	14341.4090	14341.4090	14328.5640	14328.5640	882	0	1430
2024.01.02	03:45:00	14328.5590	14328.5590	14315.4240	14315.4240	877	0	1430
2024.01.02	04:00:00	14315.4080	14328.4190	14311.3940	14320.1900	883	0	1430
2024.01.02	04:15:00	14320.1810	14346.6650	14320.1500	14341.6360	880	0	1430
2024.01.02	04:30:00	14341.6150	14341.6150	14328.1550	14328.1550	885	0	1430
2024.01.02	04:45:00	14328.1490	14328.1490	14315.3880	14315.3880	877	0	1430
2024.01.02	05:00:00	14315.3820	14315.3820	14302.2370	14302.2370	880	0	1430
2024.01.02	05:15:00	14302.2330	14302.2330	14289.2300	14289.2300	878	0	1420
2024.01.02	05:30:00	14289.2300	14289.2300	14277.2200	14288.4780	881	0	1420
2024.01.02	05:45:00	14288.4740	14288.4740	14275.7080	14275.7080	885	0	1420
2024.01.02	06:00:00	14275.7060	14320.8640	14272.2730	14311.8030	883	0	1420
2024.01.02	06:15:00	14311.7870	14311.7870	14299.5730	14304.3730	891	0	1430
2024.01.02	06:30:00	14304.3670	14318.1980	14295.6330	14314.7890	885	0	1420
2024.01.02	06:45:00	14314.7870	14314.7870	14302.1130	14302.1130	881	0	1430
2024.01.02	07:00:00	14302.0850	14302.0850	14288.5520	14288.5520	876	0	1420
2024.01.02	07:15:00	14288.5290	14291.9200	14279.7040	14279.7040	880	0	1420
2024.01.02	07:30:00	14279.6820	14303.1770	14273.4470	14298.0320	888	0	1420
2024.01.02	07:45:00	14297.9940	14307.8270	14293.9120	14299.3120	879	0	1420
2024.01.02	08:00:00	14299.2940	14300.7810	14286.4820	14300.6710	886	0	1420
2024.01.02	08:15:00	14300.6550	14300.6550	14287.4710	14287.4710	886	0	1420
2024.01.02	08:30:00	14287.4470	14294.8900	14282.8860	14282.8860	880	0	1420
2024.01.02	08:45:00	14282.8590	14282.8590	14269.1930	14269.1930	881	0	1420
2024.01.02	09:00:00	14269.1810	14269.1810	14256.3200	14256.3200	884	0	1420
2024.01.02	09:15:00	14256.3070	14256.3070	14243.6350	14243.6350	881	0	1420
2024.01.02	09:30:00	14243.6280	14243.6280	14231.2760	14231.2760	878	0	1420
2024.01.02	09:45:00	14231.2490	14233.1150	14221.5470	14230.7530	878	0	1420
2024.01.02	10:00:00	14230.7230	14230.7230	14218.4690	14218.4690	890	0	1420
2024.01.02	10:15:00	14218.4460	14218.4460	14205.7930	14211.2460	884	0	1420
2024.01.02	10:30:00	14211.2410	14211.2410	14199.0850	14199.0850	890	0	1420
2024.01.02	10:45:00	14199.0810	14242.3720	14198.0740	14230.8770	883	0	1410
2024.01.02	11:00:00	14230.8690	14230.8690	14218.1270	14218.1270	887	0	1420
2024.01.02	11:15:00	14218.1220	14230.8200	14208.5760	14227.6340	889	0	1420
2024.01.02	11:30:00	14227.6100	14227.6100	14214.9200	14214.9200	878	0	1420
2024.01.02	11:45:00	14214.9020	14258.1100	14211.8590	14254.9170	879	0	1420
2024.01.02	12:00:00	14254.9030	14278.7590	14249.9780	14274.6560	880	0	1420
2024.01.02	12:15:00	14274.6540	14302.6450	14269.5410	14295.0360	887	0	1420
2024.01.02	12:30:00	14295.0310	14295.0310	14282.4300	14282.4300	882	0	1420
2024.01.02	12:45:00	14282.4170	14282.4170	14269.5640	14269.5640	885	0	1420
2024.01.02	13:00:00	14269.5330	14269.5330	14256.8800	14256.8800	881	0	1420
2024.01.02	13:15:00	14256.8660	14302.5850	14253.8000	14302.2600	884	0	1420
2024.01.02	13:30:00	14302.2390	14302.2390	14289.7220	14289.7220	877	0	1420
2024.01.02	13:45:00	14289.6980	14289.6980	14276.6970	14276.6970	881	0	1420
2024.01.02	14:00:00	14276.6940	14318.8140	14269.7000	14315.3380	871	0	1420
2024.01.02	14:15:00	14315.3300	14315.3300	14302.8530	14302.8530	887	0	1430
2024.01.02	14:30:00	14302.8480	14302.8480	14289.6740	14289.6740	880	0	1420
2024.01.02	14:45:00	14289.6410	14289.6410	14277.3970	14277.3970	874	0	1420
2024.01.02	15:00:00	14277.3590	14277.3590	14264.5990	14264.5990	877	0	1420
2024.01.02	15:15:00	14264.5630	14282.4810	14261.3550	14275.5620	878	0	1420
2024.01.02	15:30:00	14275.5460	14275.5460	14262.6350	14262.6350	887	0	1420
2024.01.02	15:45:00	14262.6170	14267.3280	14258.6330	14258.6780	887	0	1420
2024.01.02	16:00:00	14258.6650	14258.6650	14245.5030	14245.5030	882	0	1420
2024.01.02	16:15:00	14245.4970	14249.2040	14239.1760	14239.1760	887	0	1420
2024.01.02	16:30:00	14239.1660	14239.1660	14225.9950	14225.9950	890	0	1420
2024.01.02	16:45:00	14225.9730	14225.9730	14212.6510	14212.6510	878	0	1420
2024.01.02	17:00:00	14212.6270	14216.9540	14206.7710	14206.7710	886	0	1420
2024.01.02	17:15:00	14206.7700	14206.7700	14193.6760	14193.6760	882	0	1410
2024.01.02	17:30:00	14193.6420	14193.6420	14183.4250	14186.2800	884	0	1410
2024.01.02	17:45:00	14186.2550	14186.2550	14173.7240	14173.7240	882	0	1410
2024.01.02	18:00:00	14173.7200	14195.6810	14173.2190	14191.6790	880	0	1410
2024.01.02	18:15:00	14191.6590	14196.7560	14188.4190	14188.4190	885	0	1410
2024.01.02	18:30:00	14188.4130	14188.4130	14179.5730	14180.5770	889	0	1410
2024.01.02	18:45:00	14180.5680	14181.2460	14173.7940	14173.7940	881	0	1410
2024.01.02	19:00:00	14173.7680	14173.7680	14160.9920	14160.9920	886	0	1410
2024.01.02	19:15:00	14160.9800	14170.1620	14151.0170	14167.3220	885	0	1410
2024.01.02	19:30:00	14167.3030	14167.3030	14154.5280	14154.5280	889	0	1410
2024.01.02	19:45:00	14154.5210	14175.7880	14149.7820	14173.7050	884	0	1410
2024.01.02	20:00:00	14173.6880	14173.6880	14161.1810	14161.1810	882	0	1410
2024.01.02	20:15:00	14161.1730	14161.1730	14148.6810	14148.6810	888	0	1410
2024.01.02	20:30:00	14148.6660	14148.6660	14139.6890	14139.6890	885	0	1410
2024.01.02	20:45:00	14139.6820	14169.7970	14136.1020	14166.7360	877	0	1410
2024.01.02	21:00:00	14166.7290	14166.7290	14157.6910	14157.6910	889	0	1410
2024.01.02	21:15:00	14157.6870	14157.6870	14148.0480	14148.0480	880	0	1410
2024.01.02	21:30:00	14148.0400	14148.0400	14138.7120	14144.3720	881	0	1410
2024.01.02	21:45:00	14144.3490	14177.9310	14142.2300	14173.0100	880	0	1410
2024.01.02	22:00:00	14173.0010	14173.0010	14160.5170	14160.5170	876	0	1410
2024.01.02	22:15:00	14160.5050	14171.8980	14160.5050	14165.1340	881	0	1410
2024.01.02	22:30:00	14165.1260	14198.9710	14159.1390	14192.1720	879	0	1410
2024.01.02	22:45:00	14192.1550	14192.1550	14179.2270	14179.2270	884	0	1410
2024.01.02	23:00:00	14179.2210	14179.2210	14166.2750	14166.2750	880	0	1410
2024.01.02	23:15:00	14166.2520	14166.2520	14153.4010	14153.4010	885	0	1410
2024.01.02	23:30:00	14153.3690	14168.5750	14144.2700	14166.3280	873	0	1410
2024.01.02	23:45:00	14166.3230	14166.3230	14153.6920	14153.6920	883	0	1410
2024.01.03	00:00:00	14153.6700	14180.2120	14147.7640	14174.6960	876	0	1410
2024.01.03	00:15:00	14174.6950	14179.3270	14169.7840	14171.3590	885	0	1410
2024.01.03	00:30:00	14171.3420	14171.3420	14158.3900	14158.3900	883	0	1410
2024.01.03	00:45:00	14158.3670	14158.3670	14145.5120	14145.5120	886	0	1410
2024.01.03	01:00:00	14145.4920	14145.4920	14134.5200	14135.5140	883	0	1410
2024.01.03	01:15:00	14135.5030	14135.5030	14123.2300	14123.2300	879	0	1410
2024.01.03	01:30:00	14123.1970	14123.1970	14110.4390	14110.4390	874	0	1410
2024.01.03	01:45:00	14110.4270	14110.4270	14097.7290	14097.7290	882	0	1400
2024.01.03	02:00:00	14097.7040	14104.8080	14095.4230	14101.4290	887	0	1400
2024.01.03	02:15:00	14101.4080	14101.4080	14088.9330	14088.9330	878	0	1400
2024.01.03	02:30:00	14088.9130	14088.9130	14077.3790	14078.1350	888	0	1400
2024.01.03	02:45:00	14078.1130	14078.1130	14065.8850	14065.8850	879	0	1400
2024.01.03	03:00:00	14065.8820	14079.2000	14064.9700	14072.6690	877	0	1400
2024.01.03	03:15:00	14072.6520	14072.6520	14059.5480	14059.5480	879	0	1400
2024.01.03	03:30:00	14059.5380	14068.0570	14053.7530	14060.8990	880	0	1400
2024.01.03	03:45:00	14060.8800	14078.4050	14053.5550	14073.1320	884	0	1400
2024.01.03	04:00:00	14073.1210	14073.1210	14060.5870	14060.5870	882	0	1400
2024.01.03	04:15:00	14060.5670	14061.2050	14053.3980	14055.6950	887	0	1400
2024.01.03	04:30:00	14055.6940	14055.6940	14043.1920	14043.1920	881	0	1400
2024.01.03	04:45:00	14043.1780	14043.1780	14030.4290	14030.4290	885	0	1400
2024.01.03	05:00:00	14030.4200	14060.0050	14029.5460	14054.0610	889	0	1400
2024.01.03	05:15:00	14054.0350	14117.1640	14050.6430	14116.4710	887	0	1400
2024.01.03	05:30:00	14116.4650	14116.4650	14103.8960	14103.8960	885	0	1410
2024.01.03	05:45:00	14103.8880	14106.6080	14095.3980	14095.3980	887	0	1400
2024.01.03	06:00:00	14095.3750	14127.0760	14093.7140	14124.0690	886	0	1400
2024.01.03	06:15:00	14124.0550	14124.0550	14111.6750	14111.6750	885	0	1410
2024.01.03	06:30:00	14111.6670	14111.6670	14098.5350	14098.5350	890	0	1410
2024.01.03	06:45:00	14098.5300	14121.4980	14093.6920	14113.5010	884	0	1400
2024.01.03	07:00:00	14113.4690	14133.2160	14106.7870	14127.3670	878	0	1410
2024.01.03	07:15:00	14127.3340	14127.3340	14114.2640	14114.2640	887	0	1410
2024.01.03	07:30:00	14114.2150	14118.7000	14106.9080	14106.9080	885	0	1410
2024.01.03	07:45:00	14106.8820	14106.8820	14094.1040	14094.1040	881	0	1400
2024.01.03	08:00:00	14094.1010	14096.6620	14087.0050	14091.3450	891	0	1400
2024.01.03	08:15:00	14091.3360	14109.3170	14082.6930	14108.8070	881	0	1400
2024.01.03	08:30:00	14108.8040	14114.6300	14102.2580	14102.2580	879	0	1410
2024.01.03	08:45:00	14102.2170	14133.5320	14099.7890	14128.3800	883	0	1410
2024.01.03	09:00:00	14128.3410	14146.0350	14125.5850	14140.2210	877	0	1410
2024.01.03	09:15:00	14140.2100	14161.9760	14137.1040	14152.7220	878	0	1410
2024.01.03	09:30:00	14152.7210	14152.7210	14140.2090	14140.2090	882	0	1410
2024.01.03	09:45:00	14140.1910	14176.1840	14139.1820	14170.5640	885	0	1410
2024.01.03	10:00:00	14170.5350	14178.6110	14160.1130	14176.0860	888	0	1410
2024.01.03	10:15:00	14176.0730	14194.7480	14169.0870	14193.8990	882	0	1410
2024.01.03	10:30:00	14193.8870	14194.6820	14184.8240	14191.1140	880	0	1410
2024.01.03	10:45:00	14191.0980	14206.9860	14187.6970	14203.2060	886	0	1410
2024.01.03	11:00:00	14203.1900	14216.9650	14197.8620	14209.2620	880	0	1410
2024.01.03	11:15:00	14209.2560	14209.2560	14196.6910	14196.6910	886	0	1420
2024.01.03	11:30:00	14196.6850	14201.9480	14190.5440	14190.5440	885	0	1410
2024.01.03	11:45:00	14190.5380	14192.4230	14180.3350	14190.1980	879	0	1410
2024.01.03	12:00:00	14190.1720	14239.8790	14187.8420	14237.9020	875	0	1410
2024.01.03	12:15:00	14237.8810	14237.8810	14228.6890	14228.6890	878	0	1420
2024.01.03	12:30:00	14228.6480	14228.6480	14215.5250	14215.5250	882	0	1420
2024.01.03	12:45:00	14215.5120	14255.6720	14213.2970	14249.1530	882	0	1420
