<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.07	14173.5740	14333.9530	13827.9720	13866.5200	592875	0	1380
2024.01.14	13866.4850	14056.2980	13221.0040	13570.2420	591799	0	1320
2024.01.21	13570.2160	14146.2190	13494.6190	13637.2350	592690	0	1340
2024.01.28	13637.2310	13925.6530	13281.1800	13702.6090	591415	0	1320
2024.02.04	13702.6080	14393.2520	13598.9540	14384.6570	592570	0	1360
2024.02.11	14384.6530	14492.0270	14048.6200	14138.3050	592990	0	1400
2024.02.18	14138.2920	14251.6000	13760.5250	13830.9800	592693	0	1370
2024.02.25	13830.9790	13849.8890	13535.4740	13798.0770	592612	0	1350
2024.03.03	13798.0660	13982.3800	13659.0280	13910.2850	592550	0	1360
2024.03.10	13910.2760	14152.9010	13799.9260	14111.3140	592779	0	1380
2024.03.17	14111.3050	14420.9340	13931.6750	13974.6980	592669	0	1390
2024.03.24	13974.6830	14189.3120	13850.6020	13973.3570	592753	0	1380
2024.03.31	13973.3420	13984.8390	13416.4390	13416.4390	592806	0	1340
2024.04.07	13416.4230	13658.1760	13164.9500	13475.0900	592428	0	1310
2024.04.14	13475.0740	14243.0000	13458.5980	14129.2950	592394	0	1340
2024.04.21	14129.2920	14861.4330	14041.4030	14646.6200	593142	0	1400
2024.04.28	14646.6110	14954.2720	14367.2640	14850.8650	593231	0	1430
2024.05.05	14850.8490	15780.6340	14775.6060	15722.7160	593792	0	1470
2024.05.12	15722.7130	16250.0730	15500.0030	16007.0610	593459	0	1550
2024.05.19	16007.0590	16349.7630	15760.3090	15934.5050	593976	0	1570
2024.05.26	15934.4810	16768.5660	15896.2460	16265.0380	593329	0	1580
2024.06.02	16265.0340	16375.2360	15417.1250	15513.6240	593436	0	1540
2024.06.09	15513.6120	15902.7660	15341.9520	15881.8200	593974	0	1530
2024.06.16	15881.8170	15900.0560	15275.1920	15387.0470	593971	0	1520
2024.06.23	15387.0270	15721.6710	15029.7250	15553.2690	593938	0	1500
2024.06.30	15553.2620	15847.3180	14997.6090	15767.0120	593832	0	1490
2024.07.07	15766.9860	16899.4720	15562.0830	16889.1470	594350	0	1550
2024.07.14	16889.1400	16905.5980	16175.2730	16361.5140	594382	0	1610
2024.07.21	16361.5070	17325.9440	16282.1800	16890.5950	594768	0	1620
2024.07.28	16890.5930	16985.4000	16356.3150	16971.4960	594705	0	1630
2024.08.04	16971.4750	17489.1870	16682.1050	16994.5290	593899	0	1660
2024.08.11	16994.5280	17624.4380	16944.8630	17615.0080	595211	0	1690
2024.08.18	17614.9900	18196.0680	17171.1510	17832.3240	594857	0	1710
2024.08.25	17832.2940	18606.1790	17297.4780	18557.4190	595227	0	1730
2024.09.01	18557.4110	18769.5920	18113.5910	18530.9140	595686	0	1810
2024.09.08	18530.8970	19658.9770	18405.1650	19392.8470	595968	0	1840
2024.09.15	19392.7970	20099.7180	19275.5580	19906.8350	596159	0	1920
2024.09.22	19906.8070	20155.7140	19232.9770	19641.7550	592772	0	1920
2024.09.29	19641.7390	19683.3550	18095.9100	18143.1050	596115	0	1800
2024.10.06	18143.0820	18895.1200	17864.3870	18831.1080	595706	0	1780
2024.10.13	18831.0650	19700.4640	18666.5510	19451.0180	596130	0	1860
2024.10.20	19450.9860	19791.7800	19098.3490	19380.1920	596266	0	1900
2024.10.27	19380.1670	20221.3130	19207.8400	20150.8740	596234	0	1920
2024.11.03	20150.8440	20676.6360	19924.1130	20142.7130	596571	0	1990
2024.11.10	20142.7130	20925.3670	19404.5480	20276.6950	596428	0	1940
2024.11.17	20276.6600	21044.2680	20016.2150	20849.0660	596290	0	2000
2024.11.24	20849.0570	21230.6580	20277.0560	21186.4720	596607	0	2020
2024.12.01	21186.4460	21234.8160	20321.0360	20599.0900	596695	0	2030
2024.12.08	20599.0440	20647.4090	19703.3880	19813.6880	596545	0	1970
2024.12.15	19813.6850	20486.5660	19747.1370	20093.4120	596150	0	1970
2024.12.22	20093.3780	20613.8990	19907.1030	19907.1030	596602	0	1990
2024.12.29	19907.0890	20453.0840	19797.9400	20075.8010	596528	0	1980
2025.01.05	20075.7970	20382.7850	19322.6120	19379.2090	596367	0	1930
2025.01.12	19379.1910	19602.1420	18936.9210	19258.2160	595243	0	1890
2025.01.19	19258.1970	20374.7560	19227.7980	20200.5830	596417	0	1920
2025.01.26	20200.5450	20766.3420	20090.9850	20420.2250	596556	0	2000
2025.02.02	20420.2230	20800.0610	20057.7700	20689.5100	596653	0	2000
2025.02.09	20689.4920	21028.7010	20505.7670	20907.1840	112302	0	2050
