<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	6029.1170	6108.7550	6014.5650	6091.4720	82367	0	600
2024.01.02	6091.4730	6127.2020	6056.7470	6091.8560	82511	0	600
2024.01.03	6091.8740	6160.0170	5966.2270	5982.1860	82511	0	590
2024.01.04	5982.1920	6070.3270	5977.2120	6011.8130	82451	0	590
2024.01.05	6011.8130	6070.7070	5972.0860	6038.6720	82505	0	590
2024.01.06	6038.6750	6102.2700	6016.3030	6054.0410	82455	0	600
2024.01.07	6054.0500	6057.9450	5978.4560	6032.6090	82460	0	590
2024.01.08	6032.6160	6050.6400	5922.2870	5938.8660	82408	0	590
2024.01.09	5938.8740	5959.0950	5873.5970	5910.9730	82283	0	580
2024.01.10	5910.9750	5961.3380	5878.9860	5900.7540	82482	0	580
2024.01.11	5900.7550	5909.9020	5792.3980	5875.7420	82328	0	570
2024.01.12	5875.7660	5940.8060	5865.4840	5897.6380	82310	0	580
2024.01.13	5897.6420	5996.6730	5897.6420	5936.2750	82436	0	580
2024.01.14	5936.2840	6066.1270	5925.5650	6058.9570	82205	0	590
2024.01.15	6058.9700	6136.8370	6025.8410	6136.8370	81981	0	600
2024.01.16	6136.8480	6225.7390	6098.4330	6210.6020	82560	0	600
2024.01.17	6210.6170	6311.9990	6182.2970	6280.1000	82621	0	610
2024.01.18	6280.1020	6295.4900	6215.1930	6259.2230	82651	0	620
2024.01.19	6259.2270	6283.9700	6220.8930	6227.1680	82561	0	620
2024.01.20	6227.1880	6318.0350	6214.6380	6280.0540	82565	0	620
2024.01.21	6280.0610	6357.4560	6273.8120	6341.9490	82608	0	620
2024.01.22	6341.9610	6418.0880	6340.6810	6415.8210	82604	0	630
2024.01.23	6415.8320	6424.4480	6292.5610	6318.3120	82680	0	620
2024.01.24	6318.3210	6341.0830	6242.1410	6298.1850	82583	0	620
2024.01.25	6298.1900	6412.2810	6293.5200	6353.4910	82602	0	620
2024.01.26	6353.5010	6381.9340	6265.4800	6310.9830	82669	0	620
2024.01.27	6310.9890	6313.7020	6203.1250	6210.1220	82560	0	620
2024.01.28	6210.1260	6281.9910	6198.8980	6211.0800	82672	0	610
2024.01.29	6211.0890	6256.8910	6189.2030	6225.3490	82568	0	610
2024.01.30	6225.3550	6270.2980	6150.4190	6153.2220	81683	0	610
2024.01.31	6153.2240	6228.1320	6112.0710	6123.7700	82579	0	610
2024.02.01	6123.7770	6142.3660	6034.1080	6054.9990	82493	0	600
2024.02.02	6054.9990	6064.9060	5983.4970	5988.7370	82304	0	590
2024.02.03	5988.7420	5994.3140	5828.6510	5831.7880	82331	0	580
2024.02.04	5831.7920	5922.0890	5797.2410	5900.5760	82215	0	570
2024.02.05	5900.5800	5907.0840	5853.7470	5883.7620	82268	0	580
2024.02.06	5883.7700	5967.4410	5822.7500	5940.5450	82274	0	580
2024.02.07	5940.5540	5971.4170	5905.3760	5934.6490	82362	0	590
2024.02.08	5934.6610	5940.6290	5825.0890	5838.3320	82401	0	580
2024.02.09	5838.3360	5874.2080	5770.3380	5852.6710	82300	0	570
