<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	6029.1170	6053.6730	6018.7380	6018.9630	13705	0	600
2024.01.01	04:00:00	6018.9650	6056.3250	6014.5650	6052.3160	13722	0	600
2024.01.01	08:00:00	6052.3280	6093.1650	6052.3280	6091.3640	13739	0	600
2024.01.01	12:00:00	6091.3700	6108.2260	6057.0900	6066.2350	13712	0	600
2024.01.01	16:00:00	6066.2420	6108.7550	6066.2420	6092.8170	13737	0	600
2024.01.01	20:00:00	6092.8280	6103.8870	6073.5940	6091.4720	13752	0	600
2024.01.02	00:00:00	6091.4730	6116.2440	6085.9340	6099.7200	13760	0	600
2024.01.02	04:00:00	6099.7250	6118.9920	6087.7330	6089.1640	13730	0	600
2024.01.02	08:00:00	6089.1770	6090.7160	6062.6130	6083.8310	13748	0	600
2024.01.02	12:00:00	6083.8320	6085.7950	6056.7470	6085.7950	13759	0	600
2024.01.02	16:00:00	6085.7970	6117.2500	6085.7970	6097.1900	13748	0	600
2024.01.02	20:00:00	6097.1940	6127.2020	6089.3570	6091.8560	13766	0	600
2024.01.03	00:00:00	6091.8740	6109.6700	6077.2600	6109.6700	13768	0	600
2024.01.03	04:00:00	6109.6770	6142.1930	6109.6770	6130.1250	13754	0	610
2024.01.03	08:00:00	6130.1330	6160.0170	6112.8780	6113.5070	13749	0	610
2024.01.03	12:00:00	6113.5110	6114.9310	6028.9510	6031.7420	13764	0	600
2024.01.03	16:00:00	6031.7560	6038.9150	6007.5420	6023.1020	13739	0	600
2024.01.03	20:00:00	6023.1020	6036.7190	5966.2270	5982.1860	13737	0	590
2024.01.04	00:00:00	5982.1920	6027.2540	5977.3560	6024.8690	13766	0	590
2024.01.04	04:00:00	6024.8760	6058.1340	6023.1020	6056.6020	13768	0	600
2024.01.04	08:00:00	6056.6160	6058.1890	6033.6720	6054.9830	13719	0	600
2024.01.04	12:00:00	6054.9850	6070.3270	6041.3900	6058.2190	13750	0	600
2024.01.04	16:00:00	6058.2250	6063.3140	5977.2120	6000.6710	13736	0	590
2024.01.04	20:00:00	6000.6730	6032.9080	6000.6590	6011.8130	13712	0	600
2024.01.05	00:00:00	6011.8130	6019.9330	5972.0860	5977.2330	13739	0	590
2024.01.05	04:00:00	5977.2380	6029.2400	5977.2380	6026.2020	13733	0	590
2024.01.05	08:00:00	6026.2080	6047.0500	6022.3000	6047.0500	13749	0	600
