<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.07	6054.0500	6057.9450	5792.3980	5936.2750	576707	0	570
2024.01.14	5936.2840	6318.0350	5925.5650	6280.0540	577144	0	590
2024.01.21	6280.0610	6424.4480	6203.1250	6210.1220	578306	0	620
2024.01.28	6210.1260	6281.9910	5828.6510	5831.7880	576630	0	580
2024.02.04	5831.7920	5978.8070	5770.3380	5976.1980	576191	0	570
2024.02.11	5976.2000	6360.3520	5959.6520	6264.9220	577564	0	590
2024.02.18	6264.9240	6272.8070	5973.3470	6162.3230	577253	0	590
2024.02.25	6162.3260	6200.4880	5823.8680	5845.8630	576699	0	580
2024.03.03	5845.8640	5975.9460	5734.8030	5736.8680	576322	0	570
2024.03.10	5736.8730	5915.1820	5702.9180	5901.6850	575485	0	570
2024.03.17	5901.6910	5928.0890	5562.8500	5656.2840	575213	0	550
2024.03.24	5656.2840	5729.7050	5503.6010	5710.8830	574950	0	550
2024.03.31	5710.8850	5987.8700	5702.4670	5846.0810	575883	0	570
2024.04.07	5846.0960	5970.5210	5688.1410	5829.2970	576073	0	560
2024.04.14	5829.2980	5859.4400	5564.7140	5661.9560	575194	0	550
2024.04.21	5661.9610	5681.8440	5363.5760	5510.6680	574427	0	530
2024.04.28	5510.6700	5575.1290	5315.9730	5427.1490	573848	0	530
2024.05.05	5427.1510	5481.9350	5223.6200	5233.1500	573174	0	520
2024.05.12	5233.1570	5511.2900	5178.8910	5435.3390	572576	0	510
2024.05.19	5435.3470	5467.5820	5236.7770	5415.5290	573268	0	520
2024.05.26	5415.5320	5668.2250	5380.5710	5601.4050	573307	0	530
2024.06.02	5601.4110	5671.7580	5389.0570	5475.9940	574055	0	530
2024.06.09	5475.9970	5635.5270	5404.7090	5484.4910	574318	0	540
2024.06.16	5484.5010	5624.1510	5411.8960	5584.7770	574325	0	540
2024.06.23	5584.7800	5644.0230	5317.4270	5327.1840	574042	0	530
2024.06.30	5327.1860	5524.2900	5279.2620	5516.3190	574125	0	520
2024.07.07	5516.3200	5560.8910	5385.3890	5514.0480	574257	0	530
2024.07.14	5514.0570	5769.6140	5495.7860	5688.4940	574482	0	540
2024.07.21	5688.4990	5957.9910	5659.6070	5908.9770	575830	0	560
2024.07.28	5908.9790	5988.3930	5581.7450	5738.9370	576004	0	550
2024.08.04	5738.9470	5855.2680	5657.6680	5764.6220	574489	0	560
2024.08.11	5764.6240	5844.4780	5669.6620	5765.6520	576004	0	560
2024.08.18	5765.6570	5960.3270	5653.5940	5850.1720	575487	0	560
2024.08.25	5850.1790	6041.3500	5836.5790	5983.1900	576690	0	580
2024.09.01	5983.1910	6190.0700	5823.8070	6143.4890	576970	0	580
2024.09.08	6143.5030	6364.4640	6019.5440	6364.4640	577547	0	600
2024.09.15	6364.4640	6501.2980	6237.6570	6426.3450	578373	0	620
2024.09.22	6426.3490	6453.8170	6206.4570	6444.9350	578097	0	620
2024.09.29	6444.9430	6592.3620	6279.2260	6308.0660	578619	0	620
2024.10.06	6308.0720	6340.3380	6017.9350	6019.2600	577423	0	600
2024.10.13	6019.2620	6109.4050	5888.8740	5979.0660	576607	0	580
2024.10.20	5979.0840	6046.4190	5701.5630	5702.9270	576282	0	570
2024.10.27	5702.9300	5751.5180	5456.0850	5581.7920	575037	0	540
2024.11.03	5581.7990	5588.4560	5256.6560	5385.5700	573529	0	520
2024.11.10	5385.5820	5530.3720	5368.2770	5408.5800	574209	0	530
2024.11.17	5408.5880	5486.6940	5345.2780	5432.7100	573567	0	530
2024.11.24	5432.7170	5699.1500	5432.7170	5631.5310	574711	0	540
2024.12.01	5631.5410	5668.1280	5353.8540	5418.0880	574387	0	530
2024.12.08	5418.0920	5430.9020	5206.4530	5247.3410	572846	0	520
2024.12.15	5247.3490	5368.1290	5138.5720	5356.2310	573068	0	510
2024.12.22	5356.2350	5470.0310	5263.8840	5363.0190	573782	0	520
2024.12.29	5363.0210	5559.4390	5304.7810	5409.7840	574124	0	530
2025.01.05	5409.7850	5433.5830	5267.0590	5403.5600	573467	0	520
2025.01.12	5403.5730	5536.4080	5310.1970	5497.0480	572851	0	530
2025.01.19	5497.0540	5560.0470	5351.8950	5374.3910	573548	0	530
2025.01.26	5374.3940	5545.5040	5269.4340	5425.7830	573905	0	520
2025.02.02	5425.7960	5451.7920	5054.2500	5059.0230	572631	0	500
2025.02.09	5059.0290	5060.8650	4932.1710	4987.7390	107515	0	490
