<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	2063.13	2066.47	2062.28	2063.63	2559	0	5
2024.01.02	2063.61	2078.98	2055.97	2059.60	147475	0	0
2024.01.03	2059.63	2066.04	2030.63	2042.98	174680	0	0
2024.01.04	2042.98	2050.98	2036.26	2044.22	131416	0	0
2024.01.05	2044.22	2063.99	2024.45	2044.97	175638	0	0
2024.01.07	2044.57	2045.73	2043.03	2044.26	1927	0	0
2024.01.08	2044.29	2046.59	2016.80	2030.72	147556	0	0
2024.01.09	2030.72	2041.99	2026.09	2030.76	145693	0	0
2024.01.10	2030.76	2040.28	2020.47	2026.77	146074	0	0
2024.01.11	2026.77	2039.62	2013.34	2035.34	194616	0	0
2024.01.12	2035.34	2062.31	2030.04	2048.51	180358	0	0
2024.01.14	2047.93	2048.67	2046.34	2047.61	2274	0	1
2024.01.15	2047.61	2058.62	2045.86	2054.07	85294	0	0
2024.01.16	2054.07	2054.57	2024.26	2028.11	189108	0	0
2024.01.17	2028.11	2032.93	2001.85	2009.52	179466	0	0
2024.01.18	2009.52	2024.67	2005.80	2023.82	149236	0	0
2024.01.19	2023.82	2039.42	2020.39	2029.63	131048	0	0
2024.01.21	2028.71	2028.71	2026.94	2027.62	2075	0	1
2024.01.22	2027.60	2032.16	2016.62	2020.72	138802	0	0
2024.01.23	2020.72	2037.91	2019.58	2029.33	137812	0	0
2024.01.24	2029.33	2036.67	2011.20	2016.34	155940	0	0
2024.01.25	2016.34	2025.39	2010.18	2020.64	144006	0	0
2024.01.26	2020.64	2026.80	2015.91	2018.38	109676	0	0
2024.01.28	2023.66	2028.54	2021.25	2021.86	4826	0	0
2024.01.29	2021.87	2037.59	2019.28	2031.09	126208	0	0
2024.01.30	2031.09	2048.63	2029.05	2036.46	145723	0	7
2024.01.31	2036.46	2056.01	2030.84	2039.95	190907	0	7
2024.02.01	2039.95	2065.42	2030.05	2054.81	200870	0	7
2024.02.02	2054.81	2057.67	2027.90	2037.79	167167	0	7
2024.02.04	2041.55	2042.17	2039.03	2039.20	3238	0	9
2024.02.05	2039.20	2039.82	2014.92	2025.06	175028	0	7
2024.02.06	2025.06	2038.88	2022.92	2035.25	145214	0	7
2024.02.07	2035.25	2044.58	2030.64	2036.49	136721	0	7
2024.02.08	2036.49	2038.71	2020.22	2034.25	147242	0	7
2024.02.09	2034.25	2037.22	2020.33	2024.47	127259	0	7
2024.02.11	2026.68	2026.76	2024.40	2025.42	1283	0	7
2024.02.12	2025.44	2027.59	2011.89	2018.92	113452	0	7
2024.02.13	2018.92	2031.11	1990.20	1991.51	143853	0	7
2024.02.14	1991.51	1996.13	1984.18	1993.72	142192	0	7
2024.02.15	1993.74	2008.31	1990.26	2003.49	144769	0	7
2024.02.16	2003.49	2015.19	1995.13	2013.46	137655	0	7
2024.02.18	2011.74	2016.05	2010.01	2013.81	2153	0	7
2024.02.19	2013.71	2023.01	2013.26	2016.16	76217	0	7
2024.02.20	2016.17	2030.89	2015.02	2024.28	122239	0	7
2024.02.21	2024.28	2032.26	2020.03	2025.70	143634	0	7
2024.02.22	2025.75	2034.83	2019.63	2024.77	149478	0	7
2024.02.23	2024.77	2041.35	2016.05	2036.01	138744	0	7
2024.02.25	2033.23	2034.98	2033.12	2034.02	1338	0	7
2024.02.26	2034.02	2037.07	2025.08	2031.32	123966	0	7
2024.02.27	2031.32	2039.48	2028.80	2030.08	115648	0	7
2024.02.28	2030.08	2037.88	2024.51	2034.68	121011	0	7
2024.02.29	2034.68	2050.72	2028.07	2044.33	143597	0	7
2024.03.01	2044.32	2088.32	2039.08	2083.47	172725	0	7
2024.03.03	2082.95	2086.26	2082.67	2083.57	2767	0	7
2024.03.04	2083.57	2119.90	2079.48	2114.64	155307	0	7
