<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.07	2044.57	2062.31	2013.34	2048.51	816224	0	0
2024.01.14	2047.93	2058.62	2001.85	2029.63	736426	0	0
2024.01.21	2028.71	2037.91	2010.18	2018.38	688311	0	0
2024.01.28	2023.66	2065.42	2019.28	2037.79	835701	0	0
2024.02.04	2041.55	2044.58	2014.92	2024.47	734702	0	7
2024.02.11	2026.68	2031.11	1984.18	2013.46	683204	0	7
2024.02.18	2011.74	2041.35	2010.01	2036.01	632465	0	7
2024.02.25	2033.23	2088.32	2024.51	2083.47	678285	0	7
2024.03.03	2082.95	2195.19	2079.48	2177.18	919557	0	7
2024.03.10	2179.91	2189.00	2150.30	2156.84	745010	0	7
2024.03.17	2153.55	2222.93	2146.11	2165.48	781642	0	7
2024.03.24	2166.31	2236.20	2163.66	2233.78	632825	0	7
2024.03.31	2239.41	2330.47	2228.51	2327.67	1038353	0	7
2024.04.07	2327.85	2431.47	2302.92	2342.86	1405466	0	7
2024.04.14	2359.98	2417.93	2324.46	2389.95	1468276	0	0
2024.04.21	2384.23	2388.59	2291.53	2337.08	1091092	0	7
2024.04.28	2333.88	2346.74	2277.26	2302.31	1103366	0	7
2024.05.05	2302.37	2378.42	2291.87	2361.54	938154	0	7
2024.05.12	2361.43	2422.69	2331.93	2417.71	867671	0	7
2024.05.19	2425.13	2450.07	2325.48	2334.25	1168257	0	0
2024.05.26	2335.88	2364.15	2320.57	2329.13	913266	0	0
2024.06.02	2328.70	2387.69	2286.73	2291.48	1051243	0	0
2024.06.09	2290.47	2341.65	2287.75	2332.22	1036060	0	0
2024.06.16	2331.12	2368.74	2306.61	2321.37	856886	0	0
2024.06.23	2321.07	2339.78	2293.62	2325.38	777330	0	0
2024.06.30	2322.83	2392.89	2318.48	2391.23	761886	0	0
2024.07.07	2389.50	2424.56	2349.43	2411.76	915855	0	0
2024.07.14	2411.84	2483.71	2393.81	2398.67	1206668	0	0
2024.07.21	2403.90	2432.00	2353.10	2387.98	1205353	0	0
2024.07.28	2388.11	2477.66	2369.60	2441.89	1309507	0	0
2024.08.04	2440.23	2458.78	2364.29	2430.47	1484180	0	0
2024.08.11	2428.22	2509.73	2423.84	2507.57	1107757	0	0
2024.08.18	2506.59	2531.64	2470.76	2510.85	1123607	0	0
2024.08.25	2511.96	2528.99	2493.65	2502.35	1009436	0	0
2024.09.01	2502.81	2529.17	2471.87	2496.13	999159	0	0
2024.09.08	2496.97	2586.05	2485.56	2580.48	1170206	0	0
2024.09.15	2578.76	2625.77	2546.81	2621.09	1231445	0	0
2024.09.22	2621.04	2685.59	2613.87	2653.45	1326389	0	0
2024.09.29	2661.64	2673.15	2624.67	2651.99	1184437	0	15
2024.10.06	2651.62	2661.40	2604.78	2656.77	1202809	0	15
2024.10.13	2649.72	2722.07	2638.06	2721.39	1144180	0	15
2024.10.20	2722.96	2758.44	2708.69	2745.32	1160874	0	15
2024.10.27	2733.78	2790.14	2724.71	2734.47	1083282	0	15
2024.11.03	2732.49	2749.97	2643.71	2683.89	1319273	0	15
2024.11.10	2683.47	2686.16	2536.83	2561.49	1334208	0	15
2024.11.17	2567.76	2712.04	2567.76	2711.95	1082725	0	0
2024.11.24	2710.97	2721.37	2605.26	2655.26	923186	0	0
2024.12.01	2648.62	2657.12	2613.23	2632.84	983745	0	0
2024.12.08	2643.27	2726.09	2627.49	2649.72	1058551	0	0
2024.12.15	2648.80	2664.37	2582.55	2621.62	865568	0	0
2024.12.22	2622.25	2639.10	2608.20	2618.75	431329	0	0
2024.12.29	2621.56	2665.28	2596.16	2639.73	550442	0	4
2025.01.05	2639.69	2697.95	2614.49	2689.13	836754	0	1
2025.01.12	2689.30	2724.76	2656.75	2702.16	935029	0	0
2025.01.19	2701.13	2785.91	2689.34	2771.51	1015099	0	2
2025.01.26	2765.68	2817.16	2730.45	2799.45	1109653	0	6
2025.02.02	2801.64	2886.75	2772.08	2860.99	1248483	0	8
2025.02.09	2861.49	2895.65	2860.13	2891.48	73141	0	10
